=======================================
Rules with supp=65 and conf=75
=======================================
"rules","support","confidence","lift","count"

     support confidence      lift      leverage   jaccard
40 0.7787424  0.9858805 1.0062581  4.843170e-03 0.7858924
41 0.7787424  0.9838059 1.0599349  4.403467e-02 0.8275739
42 0.7787424  0.8543266 1.0638057  4.670799e-02 0.8321049
43 0.7734828  0.9857290 1.0061035  4.692310e-03 0.7805489
44 0.7734828  0.9771612 1.0078161  5.998743e-03 0.7831459
45 0.7734828  0.8141598 1.0137901  1.052132e-02 0.7895578
46 0.8120926  0.9725074 1.0030163  2.442145e-03 0.8181959
47 0.8120926  0.9269550 0.9986849 -1.069408e-03 0.8185020
48 0.8120926  0.9015598 0.9998183 -1.476090e-04 0.8199684
49 0.8198689  0.9818198 1.0021135  1.729139e-03 0.8240464
50 0.8198689  0.9284155 1.0002583  2.117351e-04 0.8269886
51 0.8198689  0.8994448 0.9974728 -2.077191e-03 0.8253306
52 0.8581167  0.9794887 0.9997343 -2.280823e-04 0.8600788
53 0.8581167  0.9717270 1.0022114  1.893490e-03 0.8628188
54 0.8581167  0.9032446 1.0016867  1.444930e-03 0.8636049
55 0.8846955  0.9821612 1.0024620  2.172737e-03 0.8884111
56 0.8846955  0.9705634 1.0010113  8.938043e-04 0.8878784
57 0.8846955  0.9312211 1.0032811  2.893265e-03 0.8904673
58 0.6949504  0.9789337 1.0096442  6.638203e-03 0.7058645
59 0.6949504  0.9838770 1.0600116  3.934396e-02 0.7396520
60 0.6949504  0.8999859 0.9980729 -1.341821e-03 0.7098919
61 0.6949504  0.8557526 1.0655814  4.277085e-02 0.7551942
62 0.6999837  0.9860238 1.0064044  4.454470e-03 0.7072894
63 0.6999837  0.9837407 1.0598647  3.953743e-02 0.7448655
64 0.6999837  0.8988643 0.9968290 -2.226721e-03 0.7139177
65 0.6999837  0.8537751 1.0631191  4.155914e-02 0.7584032
66 0.6963536  0.9858635 1.0062408  4.318870e-03 0.7035763
67 0.6963536  0.9786389 1.0093402  6.443895e-03 0.7071142
68 0.6963536  0.9002832 0.9984026 -1.114129e-03 0.7113976
69 0.6963536  0.8114905 1.0104664  7.212792e-03 0.7217234
70 0.7613431  0.9859668 1.0063463  4.801246e-03 0.7685791
71 0.7613431  0.9776571 1.0083276  6.287790e-03 0.7713848
72 0.7613431  0.9843051 1.0604729  4.341516e-02 0.8096678
73 0.7613431  0.8605708 1.0715810  5.085725e-02 0.8217964
74 0.7974544  0.9819747 1.0022716  1.807387e-03 0.8019555
75 0.7974544  0.9726608 1.0031745  2.523533e-03 0.8038876
76 0.7974544  0.9293076 1.0012195  9.713361e-04 0.8064560
77 0.7974544  0.9013886 0.9996284 -2.964406e-04 0.8063527
78 0.6853183  0.9861399 1.0065229  4.441302e-03 0.6926737
79 0.6853183  0.9790489 1.0097630  6.626098e-03 0.6962860
80 0.6853183  0.9841528 1.0603087  3.897984e-02 0.7296745
81 0.6853183  0.9001439 0.9982481 -1.202742e-03 0.7009148
82 0.6853183  0.8593824 1.0701013  4.489451e-02 0.7488007
=======================================
Rules with supp=65 and conf=85
=======================================
"rules","support","confidence","lift","count"

     support confidence      lift      leverage   jaccard
1  0.9017236  0.9017236 1.0000000  0.000000e+00 0.9017236
2  0.9281757  0.9281757 1.0000000  0.000000e+00 0.9281757
3  0.9695829  0.9695829 1.0000000  0.000000e+00 0.9695829
4  0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
5  0.6564311  0.9665045 0.9968251 -2.090757e-03 0.6615032
6  0.6637547  0.9772876 0.9974876 -1.671795e-03 0.6669729
7  0.7218370  0.8988299 0.9967909 -2.323901e-03 0.7343415
8  0.7898954  0.9835761 1.0596874  4.449122e-02 0.8390953
9  0.7898954  0.8510192 1.0596874  4.449122e-02 0.8390953
10 0.7846810  0.9770831 1.0077356  6.023376e-03 0.7942219
11 0.7915611  0.9856502 1.0060231  4.739114e-03 0.7985297
12 0.8350503  0.9260602 0.9977208 -1.907632e-03 0.8393739
13 0.8350503  0.8996684 0.9977208 -1.907632e-03 0.8393739
14 0.8760863  0.9715685 1.0020480  1.790551e-03 0.8802940
15 0.8760863  0.9035704 1.0020480  1.790551e-03 0.8802940
16 0.8830841  0.9793290 0.9995712 -3.788041e-04 0.8845094
17 0.8830841  0.9013370 0.9995712 -3.788041e-04 0.8845094
18 0.9007640  0.9704672 1.0009121  8.208134e-04 0.9034795
19 0.9007640  0.9290223 1.0009121  8.208134e-04 0.9034795
20 0.9115277  0.9820638 1.0023626  2.148474e-03 0.9148238
21 0.9115277  0.9303686 1.0023626  2.148474e-03 0.9148238
22 0.9500380  0.9798420 1.0000949  9.013648e-05 0.9507093
23 0.9500380  0.9696749 1.0000949  9.013648e-05 0.9507093
24 0.7099055  0.9834707 1.0595738  3.991395e-02 0.7551325
25 0.7099055  0.8987336 0.9966841 -2.361820e-03 0.7231290
26 0.7099055  0.8501350 1.0585863  3.928895e-02 0.7647948
27 0.7063387  0.9785294 1.0092272  6.457961e-03 0.7170361
28 0.7063387  0.9001604 0.9982663 -1.226673e-03 0.7207053
29 0.7115531  0.9857532 1.0061282  4.333985e-03 0.7187166
30 0.7115531  0.8989238 0.9968950 -2.216226e-03 0.7247939
31 0.7721792  0.9775715 1.0082392  6.310186e-03 0.7821128
32 0.7721792  0.9840677 1.0602170  4.385736e-02 0.8208756
33 0.7721792  0.8572491 1.0674448  4.878892e-02 0.8288118
34 0.7787424  0.9858805 1.0062581  4.843170e-03 0.7858924
35 0.7787424  0.9838059 1.0599349  4.403467e-02 0.8275739
36 0.7787424  0.8543266 1.0638057  4.670799e-02 0.8321049
37 0.7734828  0.9857290 1.0061035  4.692310e-03 0.7805489
38 0.7734828  0.9771612 1.0078161  5.998743e-03 0.7831459
39 0.8120926  0.9725074 1.0030163  2.442145e-03 0.8181959
40 0.8120926  0.9269550 0.9986849 -1.069408e-03 0.8185020
41 0.8120926  0.9015598 0.9998183 -1.476090e-04 0.8199684
42 0.8198689  0.9818198 1.0021135  1.729139e-03 0.8240464
43 0.8198689  0.9284155 1.0002583  2.117351e-04 0.8269886
44 0.8198689  0.8994448 0.9974728 -2.077191e-03 0.8253306
45 0.8581167  0.9794887 0.9997343 -2.280823e-04 0.8600788
46 0.8581167  0.9717270 1.0022114  1.893490e-03 0.8628188
47 0.8581167  0.9032446 1.0016867  1.444930e-03 0.8636049
48 0.8846955  0.9821612 1.0024620  2.172737e-03 0.8884111
49 0.8846955  0.9705634 1.0010113  8.938043e-04 0.8878784
50 0.8846955  0.9312211 1.0032811  2.893265e-03 0.8904673
51 0.6949504  0.9789337 1.0096442  6.638203e-03 0.7058645
52 0.6949504  0.9838770 1.0600116  3.934396e-02 0.7396520
53 0.6949504  0.8999859 0.9980729 -1.341821e-03 0.7098919
54 0.6949504  0.8557526 1.0655814  4.277085e-02 0.7551942
55 0.6999837  0.9860238 1.0064044  4.454470e-03 0.7072894
56 0.6999837  0.9837407 1.0598647  3.953743e-02 0.7448655
57 0.6999837  0.8988643 0.9968290 -2.226721e-03 0.7139177
58 0.6999837  0.8537751 1.0631191  4.155914e-02 0.7584032
59 0.6963536  0.9858635 1.0062408  4.318870e-03 0.7035763
60 0.6963536  0.9786389 1.0093402  6.443895e-03 0.7071142
61 0.6963536  0.9002832 0.9984026 -1.114129e-03 0.7113976
62 0.7613431  0.9859668 1.0063463  4.801246e-03 0.7685791
63 0.7613431  0.9776571 1.0083276  6.287790e-03 0.7713848
64 0.7613431  0.9843051 1.0604729  4.341516e-02 0.8096678
65 0.7613431  0.8605708 1.0715810  5.085725e-02 0.8217964
66 0.7974544  0.9819747 1.0022716  1.807387e-03 0.8019555
67 0.7974544  0.9726608 1.0031745  2.523533e-03 0.8038876
68 0.7974544  0.9293076 1.0012195  9.713361e-04 0.8064560
69 0.7974544  0.9013886 0.9996284 -2.964406e-04 0.8063527
70 0.6853183  0.9861399 1.0065229  4.441302e-03 0.6926737
71 0.6853183  0.9790489 1.0097630  6.626098e-03 0.6962860
72 0.6853183  0.9841528 1.0603087  3.897984e-02 0.7296745
73 0.6853183  0.9001439 0.9982481 -1.202742e-03 0.7009148
74 0.6853183  0.8593824 1.0701013  4.489451e-02 0.7488007
=======================================
Rules with supp=65 and conf=95
=======================================
"rules","support","confidence","lift","count"

     support confidence      lift      leverage   jaccard
1  0.9695829  0.9695829 1.0000000  0.000000e+00 0.9695829
2  0.9797491  0.9797491 1.0000000  1.110223e-16 0.9797491
3  0.6564311  0.9665045 0.9968251 -2.090757e-03 0.6615032
4  0.6637547  0.9772876 0.9974876 -1.671795e-03 0.6669729
5  0.7898954  0.9835761 1.0596874  4.449122e-02 0.8390953
6  0.7846810  0.9770831 1.0077356  6.023376e-03 0.7942219
7  0.7915611  0.9856502 1.0060231  4.739114e-03 0.7985297
8  0.8760863  0.9715685 1.0020480  1.790551e-03 0.8802940
9  0.8830841  0.9793290 0.9995712 -3.788041e-04 0.8845094
10 0.9007640  0.9704672 1.0009121  8.208134e-04 0.9034795
11 0.9115277  0.9820638 1.0023626  2.148474e-03 0.9148238
12 0.9500380  0.9798420 1.0000949  9.013648e-05 0.9507093
13 0.9500380  0.9696749 1.0000949  9.013648e-05 0.9507093
14 0.7099055  0.9834707 1.0595738  3.991395e-02 0.7551325
15 0.7063387  0.9785294 1.0092272  6.457961e-03 0.7170361
16 0.7115531  0.9857532 1.0061282  4.333985e-03 0.7187166
17 0.7721792  0.9775715 1.0082392  6.310186e-03 0.7821128
18 0.7721792  0.9840677 1.0602170  4.385736e-02 0.8208756
19 0.7787424  0.9858805 1.0062581  4.843170e-03 0.7858924
20 0.7787424  0.9838059 1.0599349  4.403467e-02 0.8275739
21 0.7734828  0.9857290 1.0061035  4.692310e-03 0.7805489
22 0.7734828  0.9771612 1.0078161  5.998743e-03 0.7831459
23 0.8120926  0.9725074 1.0030163  2.442145e-03 0.8181959
24 0.8198689  0.9818198 1.0021135  1.729139e-03 0.8240464
25 0.8581167  0.9794887 0.9997343 -2.280823e-04 0.8600788
26 0.8581167  0.9717270 1.0022114  1.893490e-03 0.8628188
27 0.8846955  0.9821612 1.0024620  2.172737e-03 0.8884111
28 0.8846955  0.9705634 1.0010113  8.938043e-04 0.8878784
29 0.6949504  0.9789337 1.0096442  6.638203e-03 0.7058645
30 0.6949504  0.9838770 1.0600116  3.934396e-02 0.7396520
31 0.6999837  0.9860238 1.0064044  4.454470e-03 0.7072894
32 0.6999837  0.9837407 1.0598647  3.953743e-02 0.7448655
33 0.6963536  0.9858635 1.0062408  4.318870e-03 0.7035763
34 0.6963536  0.9786389 1.0093402  6.443895e-03 0.7071142
35 0.7613431  0.9859668 1.0063463  4.801246e-03 0.7685791
36 0.7613431  0.9776571 1.0083276  6.287790e-03 0.7713848
37 0.7613431  0.9843051 1.0604729  4.341516e-02 0.8096678
38 0.7974544  0.9819747 1.0022716  1.807387e-03 0.8019555
39 0.7974544  0.9726608 1.0031745  2.523533e-03 0.8038876
40 0.6853183  0.9861399 1.0065229  4.441302e-03 0.6926737
41 0.6853183  0.9790489 1.0097630  6.626098e-03 0.6962860
42 0.6853183  0.9841528 1.0603087  3.897984e-02 0.7296745
